Arabic,English
يكن,be
شئ,thing
بهذا,with this
وأنا,and I
اذا,if
جدا,very
بي,with me
أخرى,another
آسف,sorry
بك,with you
رائع,wonderful
بذلك,by that
كم,how much / how many
إذاً,then
ثم,then
شيئاً,something
يوجد,there is
واحدة,one (feminine)
ولا,and not
قلت,I said
يحدث,happens
بالطبع,of course
شكرا,thanks
مرحبا,hello
يوم,day
أبي,my father
معك,with you
لها,for her
معي,with me
سيد,sir
تعلم,you know / learn
إذن,so / then
العمل,work
تم,it was done
المكان,the place
الليلة,tonight
إلهي,my God
لهذا,for this
فعل,did
هكذا,like this
أمي,my mother
لذلك,therefore
ألا,isn't it
لـ,for
الان,now
حول,around
بما,with what
حقا,really
الحقيقة,the truth
الجميع,everyone
يمكننا,we can
بالتأكيد,certainly
لأن,because
لديه,he has
لنا,for us
خلال,during
بشكل,in a way
العالم,the world
فحسب,only
حال,state / condition
الذهاب,going
عليها,on her
أعني,I mean
فعلت,I did
قال,said
هم,they
المنزل,the house
عنه,about him
ها,here
بشأن,about
أفعل,I do
أكون,I am
للغاية,very
فيه,in it
بين,between
أننا,that we
منك,from you
وهذا,and this
لكِ,for you (female)
جيدة,good
يعني,means
مجرد,just
أظن,I think
انك,that you
مني,from me
بالنسبة,regarding
الأمور,things
فكرة,idea
أم,or / mother
متى,when
الشيء,the thing
المال,money
كنا,we were
أقول,I say
عمل,work
أبداً,never
ستكون,will be
عليّ,on me
أيّ,any
أمر,matter
تقول,you say
توقف,stop
هؤلاء,these
السيد,mister
انظر,look
لما,why
منه,from him
الطريق,the road
أشعر,I feel
حصلت,I got
الحياة,life
أني,that I
نفس,same
معه,with him
بحاجة,in need
بسبب,because of
الذين,those who
تستطيع,you can
بأس,problem
اي,any
بدون,without
لكم,for you (plural)
تبدو,seems
أرى,I see
حيث,where
دائماً,always
وأنت,and you
تحت,under
تعال,come
بالفعل,already
بل,rather
فضلك,please
الأشياء,things
ليلة,night
نفسك,yourself
لكي,so that
وهو,and he
بحق,really
مشكلة,problem
شيئا,something
أرجوك,please
أذهب,I go
يريد,wants
تماماً,exactly
الوحيد,the only one
الشخص,the person
رأيت,I saw
عزيزتي,my dear
الشرطة,the police
أحب,I love
أيضا,also
بنا,with us
